N°Obs;1. Copiez ci-dessous l'extrait que vous trouvez problématique;"2. En option, si vous le souhaitez : quel est selon vous le type de problème?  (Vous pouvez cocher plusieurs réponses. Si vous ne savez pas que répondre, cochez ""autres"").";3. Autres :;4. En option, si vous le souhaitez : merci de localiser ce qui vous parait problématique dans l'extrait et d'indiquer pourquoi.;5. Pour finir, merci de préciser le niveau (ex. Licence1, Master 2 etc.), le contexte (ex. IUT Info-com, Master MEEF-PE), et le genre (ex. dissertation, mémoire, devoir d'analyse type CRPE etc.). Si vos étudiants n'ont pas pour langue maternelle le français, merci de l'indiquer aussi.;6. Clé;7. Date de saisie;8. Date de dernière modification;9. Date de dernier enregistrement;10. Temps de saisie;11. Langue;12. Origine;13. Appareil utilisé pour la saisie;14. Progression
1;Toutefois, Eddy Roulet puis Corinne Rossari œuvrent vers une représentation plus élargie de la reformulation;Lexique;;œuvrent vers / œuvrent pour / s'orientent vers;"Master SDL
mémoire";5QDL-69PS;06/11/2017 22:00:01;;06/11/2017 22:02:31;149,9731055;FR;Direct;PC;Terminé
2;Tout humain repousse qu'elle chose qui lui samble inconnue et cherche à s'en protéger en dévulant un sentiment de peur.;"Orthographe;Lexique;Syntaxe / Construction des phrases";;"qu'elle chose : quelque chose (confusion avec le pronom indéfini  mais, n'y a-t-il pas une autre confusion sous jacente? telle chose qui ... Est-ce simplement un problème de grammaire? Un problème de syntaxe ? Cette erreur m' interroge.)
 samble : semble (homophonie, pourtant verbe courant et pas de fautes dans sentiment...à cause du ""m""?)
 en dévulant : (un mot pour un autre? développant serait logique)
";Classe de BTS Assistant de Gestion PME/PMI. Ecriture personnelle (à la maison)  faisant suite à une synthèse de documents.  Etudiante parlant une langue étrangère à la maison.;6529-CJP5;17/11/2017 15:08:59;;17/11/2017 15:29:18;1218,4982483;FR;Direct;PC;Terminé
3;Je crois également que les choses repoussante provoque un sentiment de peur chez les individus, c'est la peur que cette personne soit de nature méchante avec son monstrueux physique.;"Orthographe;Ponctuation;Syntaxe / Construction des phrases";;"repoussante: accord de l'adjectif
provoque: accord du verbe
(ces 2 fautes relèvent-elles d'un même ensemble? repoussante ayant été mis par erreur au singulier, l'élève aurait-elle alors accordé le verbe avec l'adjectif? Problème de repérage du groupe sujet dans la complétive?)
syntaxe de la phrase: proche de l'oral dans sa construction. Mais la virgule montre que l'unité de sens est claire pour l'élève. je ne le compte pas vraiment comme une faute en soit:  juste la remarque que la tournure syntaxique comme celle de ""monstrueux physique"" avec l'adjectif antéposé est peu usitée dans ce type d'écrit.";BTS Assistant Gestion PME/PMI 2nde année. Devoir maison: Ecriture personnelle.;9296-X6DM;17/11/2017 15:29:41;;17/11/2017 15:39:13;571,7499966;FR;Direct;PC;Terminé
4;"Comme la société m'a formaté à des physiques ""normaux"" lorsque je vais voir des difformités chez quelqu'un je vais être révulsé.";"Orthographe;Lexique;Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;"""la société m'a formaté/ je vais être révulsé"" : le je est une fille.
m'a formaté à des physiques ""normaux"": être formatée par quelque chose: choix du verbe (formater): mon élève serait-elle un disque dur? syntaxe + vocabulaire approprié.
je vais voir: idem, tournure syntaxique familière. A l'écrit on attendrait plutôt: si jamais je vois...

d'autre part, par rapport au type du sujet, il faut exprimer une idée, une opinion avec une tournure personnelle: cette phrase attendrait donc plutôt d'être formulée de façon plus impersonnelle. L'idée ou le commentaire émergeant de ce constat pourrait lui être à une forme personnelle: Au vu de ce fait,  je pense donc que...
";BTS AG PME/PMI 2nde année. Ecriture personnelle. Devoir maison.;HNMK-6MGT;17/11/2017 15:41:24;;17/11/2017 15:48:48;444,3666506;FR;Direct;PC;Terminé
5;"Il a était écrit (...)
Il est dans nos têtes quand on dort et peu amené a faire des cauchemars
Ces réalisations on connues
Certains son des assassins
Ils ont souvent étaient humiliés
";"Orthographe;Lexique";;"Il a était écrit/ ils ont souvent étaient humiliés : confusion entre passif et actif? repérage du verbe? méconnaissance de la conjugaison? 
on connues/ son des assassins / peu amené:  homophonie ? repérage du verbe? 
ces réalisations on connues: accord erroné mais repérage quand même du participe passé: accordé avec ""réalisations"" mais mauvais repérage de l'auxiliaire avoir. L'accord est pourtant fait avec"" humiliés"" dans ""étaient humiliés""
Il est dans nos têtes quand on dort et peu amené a faire des cauchemars: tournure acceptable. mauvais repérage de ""peu"" donc difficulté à déterminer l'infinitif. Idem pour ""emmène à"" devenu ""emmène a"": impression que l'homophonie touche en particulier les verbes à l'infinitif ou conjugués et qu'un mauvais repérage du verbe conjugué entraîne par contrecoup d'autres fautes.





";BTS Assistant Gestion 2nde année. Ecriture personnelle. Langue étrangère parlée à la maison.;LJ6F-NCPM;20/11/2017 09:41:40;;20/11/2017 09:57:08;928,0532932;FR;Direct;PC;Terminé
6;"Tout d’abord les inégalités sociales. Comme l’illustre l’association Attac dans son livre « pauvreté et inégalité ».En effet d’après un sondage de la SOFRES,81% de personne en France pensent que les inégalités se sont aggravés et 25% d’entre eux pense que l’on peut lutter contre dans ces 25% ,33% sont des électeurs de droites 39% des électeurs d’extrêmes gauches.79% des jeunes pensent le contraire.
Tous les différences ne sont pas considère comme des inégalités même si elles peuvent en crées. Exemple du sexe fille garçon différence qui peut mener à des inégalités de chance par la suite notament dans l’emploi. ainsi actuellement il y a plus de cadre masculin que féminin ce qui pose déjà le problème de l’emploi pour les femmes. D’après une étude du CSA  MENE EN JANVIER 2006 74%  des personnes interrogées sont inquiet ou hostile au modèle capitaliste. Ils étaient 61% en 1999.
Elle crée beaucoup d’inégalité de chance ainsi a même niveau de diplôme un jeune issu de milieu aisé a plus de chance d’avoir un emploi par la suite qu’un autre fils d’ouvrier. Déjà si on a un emploi en fonction du millieu social déjà on est loin du plein emploi pour tous.
Des lors on peux se demander si on revient pas un peux en arrière.En effet d’après Karl Marx l’un des pères fondateur de la sociologie connut pour sa théorie des classes on peux distinguer deux grandes catégories d’un cote les prolétaires qui ne possèdes que leurs force de travail dominé pourtant majoritaire et de l’autre les bourgeois qui sont tout le contraire.
Ensuite pour remédier a ce problème de chômage et arriver au plein emploi on assiste de plus en plus a la création d’emploi atypique, de plus en plus de cdd, d’emploi précaire et/ou a temp partiel et le développement de travailleur pauvre. 
Elle crée aussi énormément de précarité exemple en France qui consacre 690 milliards d’Euros a la protection social pourtant la pauvreté s’élève encore à 14,1% dans le pays.
en effet pour lutter contre le chômage on a augmenté le volume d’emploi au détriment de la qualité de l’emploi.
";"Orthographe;Ponctuation;Syntaxe / Construction des phrases;Discours rapporté / Citation/ Sources;Autres";Connecteurs logiques;"​- Important problèmes de ponctuation non maîtrisée (différenciation entre points et virgules et leur position dans la phrase)
- Problème d'accord des verbes, participes passés, des noms et adjectifs
- Problèmes de maîtrise du féminin/masculin (les accords de genre n'existant pas dans la langue maternelle des étudiants concernés)
- Problèmes de discernement entre les verbes au participe passé, accordés au temps ou à l'infinitif.
- Problèmes de positionnement des accents
- Problème de maîtrise du sens et des fonctions des connecteurs logiques";"CUFR de Mayotte 
Niveau Licence 1 AES
Extrait de dissertation
Français Seconde langue
Langue maternelle : Shimaoré (dérivé du Swahili)";NMBV-D6G4;10/12/2017 16:40:59;;10/12/2017 16:59:56;1136,9336131;FR;Direct;PC;Terminé
7;Que fait varier la productivité d’un artiste à l’autre ? ;"Syntaxe / Construction des phrases;Cohérence / cohésion / argumentation";;"Dans le texte de l'étudiant, manifestement, il s'agissait d'interroger ""ce qui fait varier la productivité d'un artiste à l'autre"" (la formulation appropriée était donc ""Qu'est-ce qui fait..."" et non ""Que fait..."" ? ";"M1 MEEF
Analyse CRPE";PF7K-G83M;11/12/2017 18:08:34;;11/12/2017 18:12:04;209,9087829;FR;Direct;PC;Terminé
8;•	Cette citation exprime le désir de Van Gogh de convaincre son frère à venir peindre avec lui à la campagne.;Syntaxe / Construction des phrases;;convaincre à => convaincre de;M1 MEEF Analyse CRPE;JYVH-HB93;11/12/2017 18:12:36;;11/12/2017 18:14:21;105,3203951;FR;Direct;PC;Terminé
9;•	(…) Mozart lui aussi, exprime son lieu où il produit et compose sa musique. Il s’agit d’une cathédrale. (…).;Lexique;;On n'exprime pas un lieu... pb de collocation;M1 MEEF PE Analyse CRPE;NGWU-33MU;11/12/2017 18:14:49;;11/12/2017 18:15:58;68,5611377;FR;Direct;PC;Terminé
10;Peut est conjugué au présent de l'indicatif à la troisième personne du singulier, ou peux est conjugué au présent de l'indicatif à la première et deuxième personne du singulier et peu est un adverbe de quantité se prononcent en effet de la même façon /pø/.;Syntaxe / Construction des phrases;;"Les sujets du verbe ""se prononcent"" sont des propositions indépendantes au lieu d'être des GN ou des subordonnées.";Master 1 Sciences du langage. Analyse d'erreurs.;DS2Z-8CCX;17/12/2017 10:08:06;;17/12/2017 10:10:50;163,7760552;FR;Direct;PC;Terminé
11;Alain se demande s'il faut l'encourager ?;Ponctuation;;Confusion interrogative directe et indirecte : ? en trop.;Stagiaire professionnel en entreprise.;PWPB-2ACT;19/12/2017 15:47:09;;19/12/2017 15:52:42;332,3885079;FR;Direct;PC;Terminé
12;le gouvernement a mis un terme.;Syntaxe / Construction des phrases;;"valence verbale incomplète : il manque le complément à ""mettre un terme à"".";Stagiaire professionnel en entreprise.;2U4K-WG85;19/12/2017 15:52:44;;19/12/2017 15:54:12;88,1263915;FR;Direct;PC;Terminé
13;Alain, illustre ses arguments...;Ponctuation;;Virgule en trop après le sujet;Stagiaire professionnel en entreprise.;ZQG6-UXGT;19/12/2017 15:54:14;;19/12/2017 15:55:41;87,3741342;FR;Direct;PC;Terminé
